Date,A2M
1/02/2018 16:00,7.5
1/03/2018 16:00,7.43
1/04/2018 16:00,7.5
1/05/2018 16:00,7.55
1/08/2018 16:00,7.68
1/09/2018 16:00,7.61
1/10/2018 16:00,7.35
1/11/2018 16:00,7.01
1/12/2018 16:00,7.02
1/15/2018 16:00:00,6.97
1/16/2018 16:00:00,7.42
1/17/2018 16:00:00,7.6
1/18/2018 16:00:00,7.54
1/19/2018 16:00:00,7.93
1/22/2018 16:00:00,8.04
1/23/2018 16:00:00,8.17
1/24/2018 16:00:00,8.4
1/25/2018 16:00:00,8.41
1/29/2018 16:00:00,8.3
1/30/2018 16:00:00,8.04
1/31/2018 16:00:00,8.29
2/01/2018 16:00,8.43
2/02/2018 16:00,8.57
2/05/2018 16:00,8.25
2/06/2018 16:00,7.76
2/07/2018 16:00,8.16
2/08/2018 16:00,8.21
2/09/2018 16:00,8.14
2/12/2018 16:00,8.23
2/13/2018 16:00:00,8.37
2/14/2018 16:00:00,8.31
2/15/2018 16:00:00,8.52
2/16/2018 16:00:00,8.59
2/19/2018 16:00:00,8.57
2/20/2018 16:00:00,8.71
2/21/2018 16:00:00,11.3
2/22/2018 16:00:00,12.1
2/23/2018 16:00:00,11.77
2/26/2018 16:00:00,12.2
2/27/2018 16:00:00,12.09
2/28/2018 16:00:00,12.23
3/01/2018 16:00,12.23
3/02/2018 16:00,12.11
3/05/2018 16:00,11.92
3/06/2018 16:00,11.87
3/07/2018 16:00,11.7
3/08/2018 16:00,12.25
3/09/2018 16:00,12.37
3/12/2018 16:00,12.72
3/13/2018 16:00:00,13.06
3/14/2018 16:00:00,12.9
3/15/2018 16:00:00,12.92
3/16/2018 16:00:00,12.74
3/19/2018 16:00:00,12.93
3/20/2018 16:00:00,12.7
3/21/2018 16:00:00,13.17
3/22/2018 16:00:00,13.06
3/23/2018 16:00:00,12.74
3/26/2018 16:00:00,12.44
3/27/2018 16:00:00,13.04
3/28/2018 16:00:00,12.06
3/29/2018 16:00:00,11.46
4/03/2018 16:00,11.6
4/04/2018 16:00,12.19
4/05/2018 16:00,12.09
4/06/2018 16:00,12.12
4/09/2018 16:00,12.18
4/10/2018 16:00,12.38
4/11/2018 16:00,12.11
4/12/2018 16:00,11.9
4/13/2018 16:00:00,11.6
4/16/2018 16:00:00,11.7
4/17/2018 16:00:00,11.4
4/18/2018 16:00:00,11.59
4/19/2018 16:00:00,11.9
4/20/2018 16:00:00,11.94
4/23/2018 16:00:00,11.58
4/24/2018 16:00:00,11.26
4/26/2018 16:00:00,11.2
4/27/2018 16:00:00,11.18
4/30/2018 16:00:00,11.31
5/01/2018 16:00,11.27
5/02/2018 16:00,11.7
5/03/2018 16:00,11.7
5/04/2018 16:00,12.02
5/07/2018 16:00,12.21
5/08/2018 16:00,11.79
5/09/2018 16:00,11.98
5/10/2018 16:00,11.98
5/11/2018 16:00,11.94
5/14/2018 16:00:00,12.22
5/15/2018 16:00:00,12.13
5/16/2018 16:00:00,10.54
5/17/2018 16:00:00,10.75
5/18/2018 16:00:00,10.26
5/21/2018 16:00:00,10.07
5/22/2018 16:00:00,9.86
5/23/2018 16:00:00,9.3
5/24/2018 16:00:00,9.83
5/25/2018 16:00:00,10
5/28/2018 16:00:00,9.89
5/29/2018 16:00:00,9.61
5/30/2018 16:00:00,9.94
5/31/2018 16:00:00,9.93
6/01/2018 16:00,9.61
6/04/2018 16:00,9.42
6/05/2018 16:00,9.99
6/06/2018 16:00,9.94
6/07/2018 16:00,10.39
6/08/2018 16:00,10.56
6/12/2018 16:00,10.88
6/13/2018 16:00:00,10.52
6/14/2018 16:00:00,10.65
6/15/2018 16:00:00,10.97
6/18/2018 16:00:00,10.86
6/19/2018 16:00:00,10.76
6/20/2018 16:00:00,10.99
6/21/2018 16:00:00,11.24
6/22/2018 16:00:00,10.97
6/25/2018 16:00:00,10.89
6/26/2018 16:00:00,10.85
6/27/2018 16:00:00,10.87
6/28/2018 16:00:00,10.61
6/29/2018 16:00:00,10.52
7/02/2018 16:00,10.37
7/03/2018 16:00,10.72
7/04/2018 16:00,10.52
7/05/2018 16:00,10.51
7/06/2018 16:00,10.51
7/09/2018 16:00,10.44
7/10/2018 16:00,10.61
7/11/2018 16:00,10.82
7/12/2018 16:00,10.5
7/13/2018 16:00:00,10.29
7/16/2018 16:00:00,10.28
7/17/2018 16:00:00,10.09
7/18/2018 16:00:00,10
7/19/2018 16:00:00,9.81
7/20/2018 16:00:00,9.71
7/23/2018 16:00:00,9.58
7/24/2018 16:00:00,9.77
7/25/2018 16:00:00,9.94
7/26/2018 16:00:00,9.9
7/27/2018 16:00:00,9.91
7/30/2018 16:00:00,9.76
7/31/2018 16:00:00,9.6
8/01/2018 16:00,9.47
8/02/2018 16:00,9.56
8/03/2018 16:00,9.64
8/06/2018 16:00,9.59
8/07/2018 16:00,9.59
8/08/2018 16:00,9.37
8/09/2018 16:00,9.4
8/10/2018 16:00,9.78
8/13/2018 16:00:00,9.76
8/14/2018 16:00:00,10.09
8/15/2018 16:00:00,10.06
8/16/2018 16:00:00,9.86
8/17/2018 16:00:00,9.78
8/20/2018 16:00:00,9.97
8/21/2018 16:00:00,10.09
8/22/2018 16:00:00,10.6
8/23/2018 16:00:00,10.82
8/24/2018 16:00:00,10.79
8/27/2018 16:00:00,11.18
8/28/2018 16:00:00,11.44
8/29/2018 16:00:00,11.89
8/30/2018 16:00:00,11.65
8/31/2018 16:00:00,11.5
9/03/2018 16:00,11.61
9/04/2018 16:00,11.66
9/05/2018 16:00,11.25
9/06/2018 16:00,10.82
9/07/2018 16:00,10.58
9/10/2018 16:00,10.62
9/11/2018 16:00,11.01
9/12/2018 16:00,10.93
9/13/2018 16:00:00,10.93
9/14/2018 16:00:00,10.95
9/17/2018 16:00:00,11.18
9/18/2018 16:00:00,11.12
9/19/2018 16:00:00,11.24
9/20/2018 16:00:00,11.33
9/21/2018 16:00:00,11.3
9/24/2018 16:00:00,10.87
9/25/2018 16:00:00,10.81
9/26/2018 16:00:00,10.7
9/27/2018 16:00:00,10.55
9/28/2018 16:00:00,10.24
10/01/2018 16:00,10.35
10/02/2018 16:00,10.31
10/03/2018 16:00,9.97
10/04/2018 16:00,9.54
10/05/2018 16:00,9.64
10/08/2018 16:00,9.61
10/09/2018 16:00,9.31
10/10/2018 16:00,9.25
10/11/2018 16:00,8.34
10/12/2018 16:00,8.94
10/15/2018 16:00:00,8.88
10/16/2018 16:00:00,9.03
10/17/2018 16:00:00,9.8
10/18/2018 16:00:00,9.6
10/19/2018 16:00:00,9.5
10/22/2018 16:00:00,9.45
10/23/2018 16:00:00,9.47
10/24/2018 16:00:00,9.3
10/25/2018 16:00:00,9.1
10/26/2018 16:00:00,9.05
10/29/2018 16:00:00,9.17
10/30/2018 16:00:00,9.7
10/31/2018 16:00:00,9.72
11/01/2018 16:00,10
11/02/2018 16:00,9.99
11/05/2018 16:00,9.5
11/06/2018 16:00,9.69
11/07/2018 16:00,9.58
11/08/2018 16:00,9.74
11/09/2018 16:00,9.7
11/12/2018 16:00,9.89
11/13/2018 16:00:00,9.58
11/14/2018 16:00:00,9.36
11/15/2018 16:00:00,9.55
11/16/2018 16:00:00,9.56
11/19/2018 16:00:00,9.8
11/20/2018 16:00:00,9.68
11/21/2018 16:00:00,9.35
11/22/2018 16:00:00,9.9
11/23/2018 16:00:00,9.76
11/26/2018 16:00:00,9.58
11/27/2018 16:00:00,9.75
11/28/2018 16:00:00,10.15
11/29/2018 16:00:00,10.22
11/30/2018 16:00:00,9.81
12/03/2018 16:00,10.33
12/04/2018 16:00,10.53
12/05/2018 16:00,10.43
12/06/2018 16:00,10.27
12/07/2018 16:00,10.41
12/10/2018 16:00,10.11
12/11/2018 16:00,10.21
12/12/2018 16:00,10.39
12/13/2018 16:00:00,10.65
12/14/2018 16:00:00,10.15
12/17/2018 16:00:00,10.5
12/18/2018 16:00:00,10.36
12/19/2018 16:00:00,10.28
12/20/2018 16:00:00,10.17
12/21/2018 16:00:00,10.01
12/24/2018 14:10:00,10.06
12/27/2018 16:00:00,10.4
12/28/2018 16:00:00,10.5
12/31/2018 14:10:00,10.32
1/02/2019 16:00,10.4
1/03/2019 16:00,10.5
1/04/2019 16:00,10.1
1/07/2019 16:00,10.48
1/08/2019 16:00,10.51
1/09/2019 16:00,10.8
1/10/2019 16:00,10.8
1/11/2019 16:00,10.71
1/14/2019 16:00:00,10.79
1/15/2019 16:00:00,11.21
1/16/2019 16:00:00,11.42
1/17/2019 16:00:00,11.84
1/18/2019 16:00:00,11.75
1/21/2019 16:00:00,11.75
1/22/2019 16:00:00,11.81
1/23/2019 16:00:00,11.79
1/24/2019 16:00:00,11.7
1/25/2019 16:00:00,11.66
1/29/2019 16:00:00,11.62
1/30/2019 16:00:00,11.58
1/31/2019 16:00:00,12.08
2/01/2019 16:00,12.21
2/04/2019 16:00,12.09
2/05/2019 16:00,12.17
2/06/2019 16:00,12.43
2/07/2019 16:00,12.54
2/08/2019 16:00,12.47
2/11/2019 16:00,12.84
2/12/2019 16:00,12.78
2/13/2019 16:00:00,13
2/14/2019 16:00:00,12.74
2/15/2019 16:00:00,12.25
2/18/2019 16:00:00,12.68
2/19/2019 16:00:00,12.34
2/20/2019 16:00:00,13.64
2/21/2019 16:00:00,14.1
2/22/2019 16:00:00,13.93
2/25/2019 16:00:00,14.05
2/26/2019 16:00:00,14.11
2/27/2019 16:00:00,13.98
2/28/2019 16:00:00,13.77
3/01/2019 16:00,13.85
3/04/2019 16:00,14.07
3/05/2019 16:00,14.27
3/06/2019 16:00,14.16
3/07/2019 16:00,14.05
3/08/2019 16:00,14.04
3/11/2019 16:00,13.85
3/12/2019 16:00,13.85
3/13/2019 16:00:00,13.72
3/14/2019 16:00:00,13.76
3/15/2019 16:00:00,13.4
3/18/2019 16:00:00,13.32
3/19/2019 16:00:00,13.15
3/20/2019 16:00:00,13.11
3/21/2019 16:00:00,13.34
3/22/2019 16:00:00,13.41
3/25/2019 16:00:00,13.34
3/26/2019 16:00:00,13.44
3/27/2019 16:00:00,13.48
3/28/2019 16:00:00,13.55
3/29/2019 16:00:00,13.62
4/01/2019 16:00,13.67
4/02/2019 16:00,14.01
4/03/2019 16:00,14.07
4/04/2019 16:00,14.04
4/05/2019 16:00,13.75
4/08/2019 16:00,13.84
4/09/2019 16:00,13.81
4/10/2019 16:00,13.78
4/11/2019 16:00,13.71
4/12/2019 16:00,14.04
4/15/2019 16:00:00,14.61
4/16/2019 16:00:00,14.99
4/17/2019 16:00:00,14.93
4/18/2019 16:00:00,14.65
4/23/2019 16:00:00,15.09
4/24/2019 16:00:00,15.48
4/26/2019 16:00:00,15.55
4/29/2019 16:00:00,15.87
4/30/2019 16:00:00,15.96
5/01/2019 16:00,15.43
5/02/2019 16:00,15.44
5/03/2019 16:00,15.39
5/06/2019 16:00,15.05
5/07/2019 16:00,15.44
5/08/2019 16:00,15.24
5/09/2019 16:00,15.11
5/10/2019 16:00,14.99
5/13/2019 16:00:00,14.83
5/14/2019 16:00:00,15.02
5/15/2019 16:00:00,15.4
5/16/2019 16:00:00,15.38
5/17/2019 16:00:00,15.39
5/20/2019 16:00:00,15.34
5/21/2019 16:00:00,15.25
5/22/2019 16:00:00,15.13
5/23/2019 16:00:00,15.08
5/24/2019 16:00:00,14.96
5/27/2019 16:00:00,14.74
5/28/2019 16:00:00,14.9
5/29/2019 16:00:00,14.92
5/30/2019 16:00:00,14.58
5/31/2019 16:00:00,14.68
6/03/2019 16:00,14.26
6/04/2019 16:00,13.03
6/05/2019 16:00,13.48
6/06/2019 16:00,13.45
6/07/2019 16:00,13.64
6/11/2019 16:00,13.95
6/12/2019 16:00,13.92
6/13/2019 16:00:00,13.87
6/14/2019 16:00:00,14.04
6/17/2019 16:00:00,13.86
6/18/2019 16:00:00,13.41
6/19/2019 16:00:00,13.64
6/20/2019 16:00:00,13.54
6/21/2019 16:00:00,13.22
6/24/2019 16:00:00,13.44
6/25/2019 16:00:00,13.82
6/26/2019 16:00:00,13.6
6/27/2019 16:00:00,13.89
6/28/2019 16:00:00,13.85
7/01/2019 16:00,13.86
7/02/2019 16:00,13.87
7/03/2019 16:00,14.36
7/04/2019 16:00,14.22
7/05/2019 16:00,14.33
7/08/2019 16:00,14.6
7/09/2019 16:00,14.5
7/10/2019 16:00,15.66
7/11/2019 16:00,15.78
7/12/2019 16:00,15.85
7/15/2019 16:00:00,15.85
7/16/2019 16:00:00,15.62
7/17/2019 16:00:00,16.04
7/18/2019 16:00:00,15.99
7/19/2019 16:00:00,16.22
7/22/2019 16:00:00,16.42
7/23/2019 16:00:00,16.71
7/24/2019 16:00:00,16.33
7/25/2019 16:00:00,16.71
7/26/2019 16:00:00,16.56
7/29/2019 16:00:00,17.1
7/30/2019 16:00:00,17.13
7/31/2019 16:00:00,17.12
8/01/2019 16:00,16.9
8/02/2019 16:00,16.8
8/05/2019 16:00,16.3
8/06/2019 16:00,16.1
8/07/2019 16:00,15.8
8/08/2019 16:00,15.25
8/09/2019 16:00,15.23
8/12/2019 16:00,15.3
8/13/2019 16:00:00,15.18
8/14/2019 16:00:00,15.31
8/15/2019 16:00:00,14.9
8/16/2019 16:00:00,14.82
8/19/2019 16:00:00,15.38
8/20/2019 16:00:00,16
8/21/2019 16:00:00,13.89
8/22/2019 16:00:00,13.77
8/23/2019 16:00:00,13.59
8/26/2019 16:00:00,13.47
8/27/2019 16:00:00,13.46
8/28/2019 16:00:00,13.45
8/29/2019 16:00:00,13.21
8/30/2019 16:00:00,13.55
9/02/2019 16:00,13.4
9/03/2019 16:00,13.68
9/04/2019 16:00,13.72
9/05/2019 16:00,14.18
9/06/2019 16:00,14.4
9/09/2019 16:00,14.04
9/10/2019 16:00,13.68
9/11/2019 16:00,13.55
9/12/2019 16:00,13.19
9/13/2019 16:00:00,13.08
9/16/2019 16:00:00,13.6
9/17/2019 16:00:00,13.1
9/18/2019 16:00:00,12.6
9/19/2019 16:00:00,12.35
9/20/2019 16:00:00,12.55
9/23/2019 16:00:00,12.63
9/24/2019 16:00:00,12.25
9/25/2019 16:00:00,12.33
9/26/2019 16:00:00,12.26
9/27/2019 16:00:00,12.16
9/30/2019 16:00:00,12.16
10/01/2019 16:00,12.43
10/02/2019 16:00,12.19
10/03/2019 16:00,12.15
10/04/2019 16:00,12.19
10/07/2019 16:00,12.25
10/08/2019 16:00,12.16
10/09/2019 16:00,12.05
10/10/2019 16:00,12.13
10/11/2019 16:00,12.31
10/14/2019 16:00:00,12.25
10/15/2019 16:00:00,12.3
10/16/2019 16:00:00,12.48
10/17/2019 16:00:00,12.33
10/18/2019 16:00:00,12.23
10/21/2019 16:00:00,12.04
10/22/2019 16:00:00,12.25
10/23/2019 16:00:00,12.05
10/24/2019 16:00:00,11.84
10/25/2019 16:00:00,11.87
10/28/2019 16:00:00,12.01
10/29/2019 16:00:00,11.96
10/30/2019 16:00:00,11.99
10/31/2019 16:00:00,12.04
11/01/2019 16:00,12.05
11/04/2019 16:00,12.06
11/05/2019 16:00,11.79
11/06/2019 16:00,11.31
11/07/2019 16:00,11.62
11/08/2019 16:00,11.49
11/11/2019 16:00,11.51
11/12/2019 16:00,11.76
11/13/2019 16:00:00,11.62
11/14/2019 16:00:00,12
11/15/2019 16:00:00,12
11/18/2019 16:00:00,12.02
11/19/2019 16:00:00,13.37
11/20/2019 16:00:00,13.84
11/21/2019 16:00:00,13.83
11/22/2019 16:00:00,13.99
11/25/2019 16:00:00,13.99
11/26/2019 16:00:00,14.14
11/27/2019 16:00:00,14.33
11/28/2019 16:00:00,14.5
11/29/2019 16:00:00,14.77
12/02/2019 16:00,15
12/03/2019 16:00,14.54
12/04/2019 16:00,14.3
12/05/2019 16:00,14.49
12/06/2019 16:00,14.54
12/09/2019 16:00,13.97
12/10/2019 16:00,14.4
12/11/2019 16:00,14.58
12/12/2019 16:00,14.69
12/13/2019 16:00:00,14.66
12/16/2019 16:00:00,14.5
12/17/2019 16:00:00,14.56
12/18/2019 16:00:00,14.77
12/19/2019 16:00:00,14.86
12/20/2019 16:00:00,14.72
12/23/2019 16:00:00,14.63
12/24/2019 14:10:00,14.53
12/27/2019 16:00:00,14.65
12/30/2019 16:00:00,14.6
12/31/2019 14:10:00,14.3
1/02/2020 16:00,14.02
1/03/2020 16:00,14.03
1/06/2020 16:00,14.09
1/07/2020 16:00,14.17
1/08/2020 16:00,14.01
1/09/2020 16:00,14.36
1/10/2020 16:00,14.37
1/13/2020 16:00:00,14.21
1/14/2020 16:00:00,14
1/15/2020 16:00:00,13.98
1/16/2020 16:00:00,14.21
1/17/2020 16:00:00,14.68
1/20/2020 16:00:00,14.66
1/21/2020 16:00:00,14.81
1/22/2020 16:00:00,15.59
1/23/2020 16:00:00,15.31
1/24/2020 16:00:00,15.5
1/28/2020 16:00:00,15.08
1/29/2020 16:00:00,15.14
