Date,CLDD
2/24/2021 16:00:00,14.16
2/25/2021 16:00:00,14.26
2/26/2021 16:00:00,13.83
3/01/2021 16:00,14.21
3/02/2021 16:00,14.41
3/03/2021 16:00,14
3/04/2021 16:00,13.19
3/05/2021 16:00,13.05
3/08/2021 16:00,13.11
3/09/2021 16:00,13.12
3/10/2021 16:00,13.53
3/11/2021 16:00,13.46
3/12/2021 16:00,13.85
3/15/2021 16:00:00,13.75
3/16/2021 16:00:00,13.98
3/17/2021 16:00:00,13.82
3/18/2021 16:00:00,13.71
3/19/2021 16:00:00,13.28
3/22/2021 16:00:00,13.52
3/23/2021 16:00:00,13.68
3/24/2021 16:00:00,13.96
3/25/2021 16:00:00,13.45
3/26/2021 16:00:00,13.43
3/29/2021 16:00:00,13.35
3/30/2021 16:00:00,13.2
3/31/2021 16:00:00,13.28
4/01/2021 16:00,13.73
4/06/2021 16:00,13.96
4/07/2021 16:00,14.05
4/08/2021 16:00,14.05
4/09/2021 16:00,14.15
4/12/2021 16:00,14.14
4/13/2021 16:00:00,14.19
4/14/2021 16:00:00,14.35
4/15/2021 16:00:00,14.11
4/16/2021 16:00:00,14.26
4/19/2021 16:00:00,14.21
4/20/2021 16:00:00,13.91
4/21/2021 16:00:00,13.76
4/22/2021 16:00:00,13.84
4/23/2021 16:00:00,13.95
4/26/2021 16:00:00,14
4/27/2021 16:00:00,14.48
4/28/2021 16:00:00,14.48
4/29/2021 16:00:00,14.5
4/30/2021 16:00:00,14.08
5/03/2021 16:00,14.16
5/04/2021 16:00,13.74
5/05/2021 16:00,13.51
5/06/2021 16:00,13.32
5/07/2021 16:00,13.04
5/10/2021 16:00,12.97
5/11/2021 16:00,12.7
5/12/2021 16:00,12.99
5/13/2021 16:00:00,12.85
5/14/2021 16:00:00,12.72
5/17/2021 16:00:00,13.01
5/18/2021 16:00:00,12.92
5/19/2021 16:00:00,12.9
5/20/2021 16:00:00,13.07
5/21/2021 16:00:00,13.34
5/24/2021 16:00:00,13.3
5/25/2021 16:00:00,13.46
5/26/2021 16:00:00,13.41
5/27/2021 16:00:00,13.59
5/28/2021 16:00:00,13.56
5/31/2021 16:00:00,13.58
6/01/2021 16:00,13.5
6/02/2021 16:00,13.49
6/03/2021 16:00,13.58
6/04/2021 16:00,13.45
6/07/2021 16:00,13.41
6/08/2021 16:00,13.65
6/09/2021 16:00,13.77
6/10/2021 16:00,13.8
6/11/2021 16:00,13.98
6/15/2021 16:00:00,14.38
6/16/2021 16:00:00,14.27
6/17/2021 16:00:00,14.31
6/18/2021 16:00:00,14.92
6/21/2021 16:00:00,14.98
6/22/2021 16:00:00,14.96
6/23/2021 16:00:00,15.1
6/24/2021 16:00:00,15.05
6/25/2021 16:00:00,15.07
6/28/2021 16:00:00,15.16
6/29/2021 16:00:00,15.3
6/30/2021 16:00:00,15.48
7/01/2021 16:00,15.19
7/02/2021 16:00,15.2
7/05/2021 16:00,15.25
7/06/2021 16:00,15.1
7/07/2021 16:00,15.57
7/08/2021 16:00,15.55
7/09/2021 16:00,15.42
7/12/2021 16:00,15.49
7/13/2021 16:00:00,15.33
7/14/2021 16:00:00,15.33
7/15/2021 16:00:00,15.11
7/16/2021 16:00:00,14.9
7/19/2021 16:00:00,15.06
7/20/2021 16:00:00,15.26
7/21/2021 16:00:00,15.5
7/22/2021 16:00:00,15.5
7/23/2021 16:00:00,15.6
7/26/2021 16:00:00,15.71
7/27/2021 16:00:00,15.51
7/28/2021 16:00:00,15.35
7/29/2021 16:00:00,15.55
7/30/2021 16:00:00,15.35
8/02/2021 16:00,15.57
8/03/2021 16:00,15.48
8/04/2021 16:00,15.5
8/05/2021 16:00,15.62
8/06/2021 16:00,15.76
8/09/2021 16:00,15.84
8/10/2021 16:00,16.07
8/11/2021 16:00,15.85
8/12/2021 16:00,15.71
8/13/2021 16:00:00,15.95
8/16/2021 16:00:00,15.94
8/17/2021 16:00:00,15.87
8/18/2021 16:00:00,15.94
8/19/2021 16:00:00,15.99
8/20/2021 16:00:00,16.11
8/23/2021 16:00:00,16.3
8/24/2021 16:00:00,16.4
8/25/2021 16:00:00,16.55
8/26/2021 16:00:00,16.5
8/27/2021 16:00:00,16.61
8/30/2021 16:00:00,16.66
8/31/2021 16:00:00,16.73
9/01/2021 16:00,16.8
9/02/2021 16:00,16.79
9/03/2021 16:00,16.79
9/06/2021 16:00,16.92
9/07/2021 16:00,16.98
9/08/2021 16:00,16.9
9/09/2021 16:00,16.67
9/10/2021 16:00,16.64
9/13/2021 16:00:00,16.48
9/14/2021 16:00:00,16.44
9/15/2021 16:00:00,16.48
9/16/2021 16:00:00,16.55
9/17/2021 16:00:00,16.72
9/20/2021 16:00:00,16.78
9/21/2021 16:00:00,16.56
9/22/2021 16:00:00,16.7
9/23/2021 16:00:00,16.92
9/24/2021 16:00:00,16.89
9/27/2021 16:00:00,17
9/28/2021 16:00:00,16.63
9/29/2021 16:00:00,16.23
9/30/2021 16:00:00,16.26
10/01/2021 16:00,16.12
10/04/2021 16:00,16.19
10/05/2021 16:00,15.76
10/06/2021 16:00,15.8
10/07/2021 16:00,16.15
10/08/2021 16:00,16.17
10/11/2021 16:00,15.91
10/12/2021 16:00,15.75
10/13/2021 16:00:00,16.04
10/14/2021 16:00:00,16.36
10/15/2021 16:00:00,16.6
10/18/2021 16:00:00,16.5
10/19/2021 16:00:00,16.59
10/20/2021 16:00:00,16.69
10/21/2021 16:00:00,16.62
10/22/2021 16:00:00,16.89
10/25/2021 16:00:00,16.83
10/26/2021 16:00:00,16.91
10/27/2021 16:00:00,16.76
10/28/2021 16:00:00,16.58
10/29/2021 16:00:00,16.64
11/01/2021 16:00,16.84
11/02/2021 16:00,16.9
11/03/2021 16:00,16.97
11/04/2021 16:00,17.12
11/05/2021 16:00,17.34
11/08/2021 16:00,16.97
11/09/2021 16:00,17.09
11/10/2021 16:00,17.18
11/11/2021 16:00,16.77
11/12/2021 16:00,16.86
11/15/2021 16:00:00,17.11
11/16/2021 16:00:00,17.04
11/17/2021 16:00:00,17.23
11/18/2021 16:00:00,17.06
11/19/2021 16:00:00,16.89
11/22/2021 16:00:00,16.64
11/23/2021 16:00:00,16.06
11/24/2021 16:00:00,15.73
11/25/2021 16:00:00,16
11/26/2021 16:00:00,16.04
11/29/2021 16:00:00,16.17
11/30/2021 16:00:00,16.24
12/01/2021 16:00,16.05
12/02/2021 16:00,15.3
12/03/2021 16:00,15.49
12/06/2021 16:00,15.19
12/07/2021 16:00,15.13
12/08/2021 16:00,15.66
12/09/2021 16:00,15.74
12/10/2021 16:00,15.34
12/13/2021 16:00:00,15.03
12/14/2021 16:00:00,15.12
12/15/2021 16:00:00,14.8
12/16/2021 16:00:00,14.98
12/17/2021 16:00:00,14.58
12/20/2021 16:00:00,14.9
12/21/2021 16:00:00,14.98
12/22/2021 16:00:00,15.25
12/23/2021 16:00:00,15.13
12/24/2021 14:10:00,15.11
12/29/2021 16:00:00,15.03
12/30/2021 16:00:00,14.86
12/31/2021 14:10:00,14.98
1/04/2022 16:00,14.89
1/05/2022 16:00,14.26
1/06/2022 16:00,13.7
1/07/2022 16:00,13.85
1/10/2022 16:00,13.69
1/11/2022 16:00,13.82
1/12/2022 16:00,14.03
1/13/2022 16:00:00,13.72
1/14/2022 16:00:00,13.25
1/17/2022 16:00:00,13.34
1/18/2022 16:00:00,13.3
1/19/2022 16:00:00,13.04
1/20/2022 16:00:00,13.2
1/21/2022 16:00:00,12.91
1/24/2022 16:00:00,12.73
1/25/2022 16:00:00,12.7
1/27/2022 16:00:00,12.18
1/28/2022 16:00:00,12.39
1/31/2022 16:00:00,12.83
2/01/2022 16:00,13.35
2/02/2022 16:00,13.53
2/03/2022 16:00,12.89
2/04/2022 16:00,12.71
2/07/2022 16:00,12.98
2/08/2022 16:00,12.9
2/09/2022 16:00,13.08
2/10/2022 16:00,13.32
2/11/2022 16:00,13.05
2/14/2022 16:00:00,12.77
2/15/2022 16:00:00,12.8
2/16/2022 16:00:00,12.91
2/17/2022 16:00:00,12.41
2/18/2022 16:00:00,11.97
2/21/2022 16:00:00,11.66
2/22/2022 16:00:00,11.35
2/23/2022 16:00:00,11.59
2/24/2022 16:00:00,10.81
2/25/2022 16:00:00,11.45
2/28/2022 16:00:00,11.39
3/01/2022 16:00,11.82
3/02/2022 16:00,11.72
3/03/2022 16:00,11.81
3/04/2022 16:00,11.27
